arch_name	status	nix_attr	mapping_kind
brutexss	unmatched		
brutus	direct	brutus	exact-validated
bsdiff	direct	bsdiff	exact-validated
bsqlbf	unmatched		
bsqlinjector	unmatched		
bss	unmatched		
bt_audit	unmatched		
btcrack	unmatched		
btlejack	direct	btlejack	exact-validated
btproxy-mitm	unmatched		
btrfs-assistant	direct	btrfs-assistant	exact-validated
btrfs-progs	direct	btrfs-progs	exact-validated
btscanner	unmatched		
bulk-extractor	alias	bulk_extractor	hyphen-to-underscore
bunny	unmatched		
burpsuite	direct	burpsuite	exact-validated
buster	unmatched		
buttinsky	unmatched		
bvi	direct	bvi	exact-validated
byepass	unmatched		
bypass-firewall-dns-history	unmatched		
bytecode-viewer	direct	bytecode-viewer	exact-validated
bzip2	direct	bzip2	exact-validated
c5scan	unmatched		
c7decrypt	unmatched		
cachedump	unmatched		
cafebabe	unmatched		
cai	direct	cai	exact-validated
caido-cli	direct	caido-cli	exact-validated
caido-desktop	direct	caido-desktop	exact-validated
cairomm	unmatched		
calf	direct	calf	exact-validated
cameractrls	direct	cameractrls	exact-validated
cameradar	direct	cameradar	exact-validated
camover	unmatched		
camscan	unmatched		
can-utils	direct	can-utils	exact-validated
canalyzat0r	unmatched		
canari	unmatched		
cangibrina	unmatched		
cansina	direct	cansina	exact-validated
cantoolz	direct	cantoolz	exact-validated
capa	direct	capa	exact-validated
capfuzz	unmatched		
capstone	direct	capstone	exact-validated
captipper	unmatched		
cardpwn	unmatched		
cariddi	direct	cariddi	exact-validated
carwhisperer	unmatched		
casefile	unmatched		
catana	unmatched		
catatonit	direct	catatonit	exact-validated
catnthecanary	unmatched		
catphish	unmatched		
ccfits	unmatched		
ccrawldns	unmatched		
cdpsnarf	unmatched		
cdrtools	direct	cdrtools	exact-validated
cecster	unmatched		
celt	direct	celt	exact-validated
cent	direct	cent	exact-validated
centry	unmatched		
cero	direct	cero	exact-validated
certgraph	direct	certgraph	exact-validated
certi	direct	certi	exact-validated
certipy	direct	certipy	exact-validated
certsync	direct	certsync	exact-validated
cewl	direct	cewl	exact-validated
cflow	direct	cflow	exact-validated
chainsaw	direct	chainsaw	exact-validated
chameleon	unmatched		
chameleonmini	unmatched		
changeme	unmatched		
chankro	unmatched		
chaos-client	unmatched		
chaosmap	unmatched		
chaosreader	unmatched		
chaotic-keyring	unmatched		
chaotic-mirrorlist	unmatched		
chapcrack	unmatched		
cheat-sh	unmatched		
check-weak-dh-ssh	unmatched		
checkiban	unmatched		
checkov	unmatched		insecure-dependency
chiasm-shell	unmatched		
chipsec	unmatched		upstream-test-suite-failures
chiron	unmatched		
chisel	direct	chisel	exact-validated
chkrootkit	unmatched		
chopshop	unmatched		
choronzon	unmatched		
chownat	unmatched		
chrome-decode	unmatched		
chrome-remote-desktop	unmatched		
chromefreak	unmatched		
chromensics	unmatched		
chromium	direct	chromium	exact-validated
chronoleak	unmatched		
chw00t	unmatched		
cidr2range	unmatched		
cintruder	unmatched		
cipherscan	unmatched		
ciphertest	unmatched		
ciphr	unmatched		
circle-flags	direct	circle-flags	exact-validated
cirt-fuzzer	unmatched		
cisco-auditing-tool	unmatched		
cisco-global-exploiter	unmatched		
cisco-ocs	unmatched		
cisco-router-config	unmatched		
cisco-scanner	unmatched		
cisco-snmp-enumeration	unmatched		
cisco-snmp-slap	unmatched		
cisco-torch	unmatched		
cisco5crack	unmatched		
cisco7crack	unmatched		
ciscos	unmatched		
citadel	unmatched		
cjexploiter	unmatched		
clair	direct	clair	exact-validated
clairvoyance	unmatched		closure-broken
clamscanlogparser	unmatched		
clang	direct	clang	exact-validated
claws-mail	direct	claws-mail	exact-validated
clazy	direct	clazy	exact-validated
cleverhans	unmatched		
climber	unmatched		
cloakify	unmatched		
cloud-buster	unmatched		
cloud_enum	unmatched		
cloudfail	unmatched		
cloudflare-enum	unmatched		
cloudflare-warp-bin	alias	cloudflare-warp	strip-variant-suffix
cloudget	unmatched		
cloudlist	direct	cloudlist	exact-validated
cloudmare	unmatched		
cloudsploit	unmatched		
cloudunflare	unmatched		
clucene	unmatched		
clusterd	unmatched		
cmark	direct	cmark	exact-validated
cmatrix	direct	cmatrix	exact-validated
cminer	unmatched		
cmospwd	direct	cmospwd	exact-validated
cms-explorer	unmatched		
cms-few	unmatched		
cmseek	unmatched		
cmsfuzz	unmatched		
cmsscan	unmatched		
cmsscanner	unmatched		
cnamulator	unmatched		
cntlm	direct	cntlm	exact-validated
cockpit	direct	cockpit	exact-validated
cockpit-machines	direct	cockpit-machines	exact-validated
codeql	direct	codeql	exact-validated
codetective	unmatched		
coercer	direct	coercer	exact-validated
coin	unmatched		
colord-gtk	direct	colord-gtk	exact-validated
colord-gtk-common	unmatched		
colord-sane	unmatched		
comission	unmatched		
commentor	unmatched		
commix	direct	commix	exact-validated
commonspeak	unmatched		
compface	unmatched		
compiler-rt	unmatched		
composefs	direct	composefs	exact-validated
compp	unmatched		
configpush	unmatched		
conky	direct	conky	exact-validated
conky-manager2	unmatched		
conmon	direct	conmon	exact-validated
conpass	direct	conpass	exact-validated
conpot	unmatched		
conscan	unmatched		
containerd	direct	containerd	exact-validated
containers-common	unmatched		
converseen	direct	converseen	exact-validated
cook	unmatched		
cookie-cadger	unmatched		
coreutils	direct	coreutils	exact-validated
corscanner	unmatched		
corstest	unmatched		
corsy	unmatched		
cottontail	unmatched		
country-ip-blocks	unmatched		
cpfinder	unmatched		
cpp2il	unmatched		
cpptest	direct	cpptest	exact-validated
cr3dov3r	unmatched		
crabstick	unmatched		
cracken	unmatched		
crackhor	unmatched		
crackle	direct	crackle	exact-validated
cracklib	direct	cracklib	exact-validated
crackmapexec	unmatched		
crackmapexec-pingcastle	unmatched		
crackpkcs12	unmatched		
crackq	unmatched		
crackql	direct	crackql	exact-validated
crackserver	unmatched		
crawlic	unmatched		
creak	unmatched		
creddump	unmatched		
credmap	unmatched		
credmaster	unmatched		
creds	direct	creds	exact-validated
credsniper	unmatched		
cribdrag	unmatched		
criu	direct	criu	exact-validated
crlf-injector	unmatched		
crlfuzz	direct	crlfuzz	exact-validated
cronie	direct	cronie	exact-validated
crosslinked	unmatched		
crowbar	direct	crowbar	exact-validated
crozono	unmatched		
crun	direct	crun	exact-validated
crypthook	unmatched		
cryptohazemultiforcer	unmatched		
cryptonark	unmatched		
cryptsetup	direct	cryptsetup	exact-validated
csdr	direct	csdr	exact-validated
csrftester	unmatched		
ct-exposer	unmatched		
ctags	direct	ctags	exact-validated
ctunnel	unmatched		
ctypes-sh	alias	ctypes_sh	hyphen-to-underscore
cubicsdr	direct	cubicsdr	exact-validated
cudahashcat	unmatched		
cupp	unmatched		
cups-pdf	unmatched		
cups-pk-helper	direct	cups-pk-helper	exact-validated
curl-impersonate	direct	curl-impersonate	exact-validated
curlftpfs	unmatched		
cve-api	unmatched		
cve-search	unmatched		
cvechecker	unmatched		
cvemap	direct	cvemap	exact-validated
cybercrowl	unmatched		
cyberscan	unmatched		
cymothoa	unmatched		
d-tect	unmatched		
dagon	unmatched		
dalfox	direct	dalfox	exact-validated
damm	unmatched		
daredevil	unmatched		
dark-dork-searcher	unmatched		
darkarmour	unmatched		
darkbing	unmatched		
darkd0rk3r	unmatched		
darkdump	unmatched		
darkjumper	unmatched		
darkmysqli	unmatched		
darkscrape	unmatched		
darkspiritz	unmatched		
darktable	direct	darktable	exact-validated
datajackproxy	unmatched		
datasploit	unmatched		
davoset	unmatched		
davscan	unmatched		
dawnscanner	unmatched		
dbd	direct	dbd	exact-validated
dbpwaudit	unmatched		
